"","read_nai1","read_nai2","read_nai3","read_eff1","read_eff2","read_tem1","read_tem2","read_tcm1","read_tcm2"
"union_peak_31622",0.035082921,0.121343089,0.085070162,1.118193088,0.920935615,0.499245365,0.375667354,0.43632487,0.541842822
"union_peak_31624",0.420995057,0.080895393,0.153126291,0.765079481,0.63851536,0.584642599,0.578730789,0.467490933,0.531422768
"union_peak_31640",2.993742627,1.520833387,1.420671703,0.105934082,0.073674849,0.052552144,0.111684889,0.207773748,0.250081302
"union_peak_31642",1.578731464,1.172983198,1.122926136,0.153015896,0.294699397,0.045983126,0.111684889,0.332437996,0.239661248
"union_peak_31659",0.070165843,0.048537236,0.034028065,0.823931749,0.88409819,0.676608851,0.670109334,0.457102245,0.364701899
"union_peak_31666",1.567037156,1.763519566,2.143768079,0.682686306,0.663073643,0.413848132,0.700568849,0.893427116,0.885704613
"union_peak_31667",0.666575507,0.970744715,0.918757748,0.282490885,0.331536821,0.164225449,0.304595152,0.311660622,0.323021682
"union_peak_31668",0.631492585,0.784685312,0.731603392,0.459047689,0.749027633,0.190501521,0.152297576,0.664875993,0.604363148
"union_peak_31699",2.853410942,1.973847588,1.914078642,0.600293132,0.712190209,0.190501521,0.263982465,1.475193609,1.271246621
"union_peak_31731",0.08186015,0.250775718,0.204168388,1.742027127,1.498055267,1.510874132,1.390984527,0.986925302,0.802344179
"union_peak_31759",0.035082921,0.064716314,0.051042097,1.530158963,1.375263852,1.333510647,1.045776688,0.47787962,0.260501357
"union_peak_31760",0.105248764,0.048537236,0.042535081,1.200586263,1.006889606,1.077318946,0.802100567,0.415547496,0.500162605
"union_peak_31770",1.742451764,1.625997398,1.514248881,0.517899957,0.515723944,1.018197785,0.700568849,0.91420449,0.864864504
"union_peak_31779",0.912155957,1.278147208,1.412164687,0.52967041,0.466607378,0.256191701,0.375667354,0.696042055,0.812764233
"union_peak_31791",0.397606443,0.34785019,0.365801696,0.847472656,0.920935615,1.412338863,1.512822588,0.976536615,1.198306241
"union_peak_31795",1.262985171,1.609818319,1.616333075,0.388424967,0.331536821,0.118242323,0.304595152,0.425936183,0.364701899
"union_peak_31812",1.496871314,1.480385691,1.29306646,0.423736328,0.503444803,0.755437066,0.781794223,0.851872366,0.750243907
"union_peak_31846",0.175414607,0.129432629,0.153126291,0.847472656,0.626236218,0.991921713,0.842713254,0.664875993,0.791924125
"union_peak_31853",4.37367087,3.017398157,2.875371471,0.682686306,0.601677935,0.8408343,0.781794223,2.836111658,2.844674816
"union_peak_31881",0.140331686,0.064716314,0.068056129,0.741538574,0.908656473,0.867110372,0.791947395,0.851872366,0.750243907
"union_peak_31882",0.3274406,0.655252683,0.450871858,3.30749745,2.922435685,2.029826552,2.558599276,1.236253799,1.813089443
